search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle crime,/shorts/DY58eHFkiIM,/@KING5Seattle,KING 5 Seattle,Seattle eyes more CCTV cameras to fight crime,12K,5 months,"More cameras proposed for Capitol Hill, area around Garfield High School, and Lumen Field before FIFA World Cup.",2026-01-22 05:37:30.114403
seattle crime,/watch?v=OIRTIGXS-VI&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,"16-year-old among four arrested in Seattle police shooting, suspected in Tacoma murder",26K,1 month,Court records reveal new details linking a teen accused of being involved in shooting at Seattle police officers over the weekend ...,2026-01-22 05:37:30.115839
seattle crime,/watch?v=pSN7uFLZdC4&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@ReasonableNews,News For Reasonable People,"25 Break-ins, ZERO Arrests: Seattle's Crime Policy EXPOSED",29K,1 month,"Welcome to another episode of ""Seattle: Where Common Sense Goes to Die."" In just 15 minutes of walking through one ...",2026-01-22 05:37:30.117153
seattle crime,/shorts/j0VJrlNQt5o,/@KING5Seattle,KING 5 Seattle,"Seattle closes 3 parks due to drug use, crime",4.1K,4 months,"Seattle closes three parks due to drug use and crime, but fails to curb nearby encampment growth.",2026-01-22 05:37:30.118510
seattle crime,/watch?v=h3nHW5xz0Ww&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle police recognize suspect in elderly woman assault downtown | FOX 13 Seattle,5.2K,4 weeks,Seattle police said the man suspected of violently attacking an elderly woman with a makeshift weapon downtown has a history of ...,2026-01-22 05:37:30.119730
seattle crime,/watch?v=D614fhm9FXQ&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle man arrested for hate crime | FOX 13 Seattle,4.2K,10 months,One man is in jail and one woman is injured after a violent hate crime in Seattle's First Hill neighborhood Tuesday night.,2026-01-22 05:37:30.121122
seattle crime,/watch?v=WdONVfFFt9A&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,Seattle considers expanding camera program after successful crime intervention,8.1K,5 months,"A violent assault on a busy Seattle street was captured on camera and quickly halted, thanks to the city's new crime-fighting ...",2026-01-22 05:37:30.122815
seattle crime,/shorts/dP0rbdAuNyU,/@KING5Seattle,KING 5 Seattle,Seattle police investigate deadly CID shooting,12K,4 days,Police say no arrests have been made Saturday as they investigate what led up to gunshots.,2026-01-22 05:37:30.124350
seattle crime,/watch?v=RIT6RyHwxxA&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Seattle police arrest 11 in food stamps fraud ring,99K,3 months,Seattle police arrested 11 people in a months-long investigation into a food stamps fraud ring operating in the ...,2026-01-22 05:37:30.125617
seattle crime,/watch?v=62-ZzfDDQqE&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@kiro7,KIRO 7 News,A look at Seattle's crime surveillance program,6.1K,5 months,"Seattle Police have made an arrest using the new “Real Time Crime Center” (RTCC) technology. SPD recently launched RTCC, ...",2026-01-22 05:37:30.126868
seattle crime,/watch?v=B7A97UXTxFU&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,"One injured in I-5 shooting in King County, Seattle Police investigate second shooting",23K,6 days,Washington State Patrol (WSP) and the Seattle Police Department (SPD) say they're investigating separate shootings that ...,2026-01-22 05:37:30.128208
