search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle homeless,/watch?v=4Jiyk0CxifQ&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@DiscoveryGlobeLifeDocumentaryY,Discovery Globe - Life Documentary,Inside Seattle's HOMELESS HELL – Even Cops Don't Dare Step In! - Documentary,10K,5 months,"In this unfiltered seattle street documentary, we journey into the heart of the seattle homeless crisis—a growing emergency that ...",2026-01-22 05:38:37.226720
seattle homeless,/watch?v=rvwyjeukJ94&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@NickJohnson,Nick Johnson,This Is How Bad The Homeless Problem in Seattle Is Now,1M,4 years,"Seattle is just out of control. Can it even be fixed at this point? There's a reason people call it Freeattle. Free tents, free drugs, free ...",2026-01-22 05:38:37.229535
seattle homeless,/watch?v=3fvQBFWYvQ4&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,Solving Seattle's homelessness crisis | FOX 13 Seattle,4.6K,5 months,"Washington has the third-highest homeless population in the nation, only trailing California and New York. Subscribe to FOX 13 ...",2026-01-22 05:38:37.230687
seattle homeless,/watch?v=_qGPAcG4xG0&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,City orders closure of Seattle homeless encampment in public park after double homicide,15K,5 months,"A day after two people were fatally shot in a Seattle homeless encampment, city crews posted notices ordering occupants of the ...",2026-01-22 05:38:37.231941
seattle homeless,/watch?v=yAkWXcz34NU&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@VOANews,Voice of America,Homeless in Seattle Operate Their Own Tent Cities,49K,6 years,"Despite decades of effort to fight homelessness in the United States, many people still sleep on the streets or in public shelters.",2026-01-22 05:38:43.162542
seattle homeless,/shorts/4WOyOdAw06c,/@komonews,KOMO News,Seattle mayoral candidates present contrasting solutions to city's homelessness crisis,1.7K,2 months,Seattle voters have some real contrasts between the two candidates for mayor when it comes to addressing homelessness.,2026-01-22 05:38:43.164072
seattle homeless,/watch?v=t5rDw4kShDM&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@CBSMornings,CBS Mornings,Tackling Seattle's homeless crisis,11K,5 years,"Seattle has struggled to create a safe parking program for people who live in their vehicles, and there often is not enough space ...",2026-01-22 05:38:43.165392
seattle homeless,/watch?v=0W0GAFJFyO0&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,City crews clear homeless encampment at Woodland Park | FOX 13 Seattle,19K,3 years,Woodland Park is closed this week while the city tears down a homeless encampment that has sat there for months. Subscribe to ...,2026-01-22 05:38:43.166736
seattle homeless,/watch?v=Bp8pBW_n56I&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@SkreethostTV,Skreethost TV,Welcome to 3rd and Pike: Inside Seattle’s Drug Epidemic,94K,2 months,... fentanyl epidemic fentanyl Seattle xylazine Seattle open air drug market Seattle Seattle homelessness street documentary drug ...,2026-01-22 05:38:43.168012
seattle homeless,/watch?v=U9LjP7-zPVY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@NewsNation,NewsNation,Is antifa infiltrating Seattle homeless services? | Elizabeth Vargas Reports,11K,2 months,"A report from two conservative think tanks alleges that people who consider themselves ""antifa,"" the decentralized anti-fascist ...",2026-01-22 05:38:43.169291
seattle homeless,/watch?v=iBbgY-8d33o&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@ReasonableNews,News For Reasonable People,"Seattle's Homeless Policy FIASCO Creates Food Deserts, Taxpayers Pay Twice",24K,2 months,"Seattle allows rampant crime and homelessness, then acts shocked when businesses flee and residents face food deserts.",2026-01-22 05:38:43.170995
seattle homeless,/watch?v=WIX1rcjk0Pc&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Seattle neighbors frustrated by lack of action on homeless camp at city-owned vacant lot,28K,2 weeks,"A vacant property owned by the city of Seattle has been a source of ongoing problems ever since a homeless camp moved in, ...",2026-01-22 05:38:43.172293
